Dataset,Model,MAE,RMSE,R2
Dataset 1,Linear Regression,0.029690878124553243,0.0497844576099609,0.493412073146769
Dataset 1,Lasso,0.03963522172108613,0.06995028953324997,-9.438820244072055e-05
Dataset 1,Gradient Boosting,0.01221238142126821,0.027556919346929505,0.8447855153899828
Dataset 1,Voting Regressor,0.021223637474681402,0.04335989966854642,0.6157391031862954
Dataset 1,Stacking Regressor,0.011939984532139552,0.02716023283889321,0.8492192035639403
Dataset 1,Dense NN (1 hidden layer),0.012327191692476019,0.025834119318051192,0.8630875545884071
Dataset 1,Dense NN (2 hidden layers),0.01051435250199295,0.024461210007023466,0.8772541159986226
Dataset 2,Linear Regression,0.02970294235873821,0.050193303512802656,0.48812291399025315
Dataset 2,Lasso,0.04025043668965829,0.07015942845319594,-9.216641229121691e-05
Dataset 2,Gradient Boosting,0.011724862272783812,0.02828513876594501,0.8374350515469569
Dataset 2,Voting Regressor,0.020746962449753232,0.04376874263094069,0.6107818602163064
Dataset 2,Stacking Regressor,0.011838537310392397,0.02806974813405124,0.8398975648304565
Dataset 2,Dense NN (1 hidden layer),0.011210206681165834,0.02611973584212552,0.8613225092386998
Dataset 2,Dense NN (2 hidden layers),0.009424110411436412,0.025542076754508657,0.8664104473988153
Dataset 3,Linear Regression,0.02974076283684447,0.04911080767026622,0.5194549490590924
Dataset 3,Lasso,0.041422075974168804,0.07084993090588007,-0.00012987228658762896
Dataset 3,Gradient Boosting,0.011555241565924069,0.026058724042572264,0.8647317437366174
Dataset 3,Voting Regressor,0.020678271855279744,0.04273077477581706,0.6362333841164428
Dataset 3,Stacking Regressor,0.01124491124437794,0.025660296370269314,0.8688360735155424
Dataset 3,Dense NN (1 hidden layer),0.01051439904268905,0.02338029758053902,0.890623468608182
Dataset 3,Dense NN (2 hidden layers),0.008827660242756486,0.022137564244504145,0.9018102406691687
Dataset 4,Linear Regression,0.4137951686980917,0.6926004705774333,0.49605745133047013
Dataset 4,Lasso,0.5542870581996863,0.9757566995870295,-0.00012778062940488333
Dataset 4,Gradient Boosting,0.17006397620040345,0.38213761127128426,0.8465933957337102
Dataset 4,Voting Regressor,0.2959979233380315,0.6037851577169278,0.6170504213913032
Dataset 4,Stacking Regressor,0.16694639342419854,0.3765969581089741,0.8510160608330913
Dataset 4,Dense NN (1 hidden layer),0.14606807181374187,0.34257978952662327,0.8754623270313326
Dataset 4,Dense NN (2 hidden layers),0.12220508756774148,0.30062671012351566,0.9041968486817682
Dataset 5,Linear Regression,0.4142802521862038,0.697438448600372,0.49204450167564645
Dataset 5,Lasso,0.5629032550147997,0.9786906527497699,-0.0001457446942055629
Dataset 5,Gradient Boosting,0.16249008624298936,0.38903014520986506,0.841954296087058
Dataset 5,Voting Regressor,0.28901433925838,0.6090490671388745,0.6126845240846084
Dataset 5,Stacking Regressor,0.16418743897936977,0.38538442400028605,0.8449060387501973
Dataset 5,Dense NN (1 hidden layer),0.1419861321584527,0.36565211986970025,0.8586465566870196
Dataset 5,Dense NN (2 hidden layers),0.11308047663142533,0.30590679176400615,0.9018439893066315
Dataset 6,Linear Regression,0.41436056413405636,0.6833117723255968,0.5211113703859038
Dataset 6,Lasso,0.5784665652611174,0.9875020918405424,-0.0001245995371148556
Dataset 6,Gradient Boosting,0.1609382385724402,0.3606057981452159,0.866580641282526
Dataset 6,Voting Regressor,0.28837937860571133,0.5941316885301232,0.6379753702144159
Dataset 6,Stacking Regressor,0.16264984043624928,0.3574375564721327,0.868912880072991
Dataset 6,Dense NN (1 hidden layer),0.13955660533788738,0.32161361307287734,0.8934721343187491
Dataset 6,Dense NN (2 hidden layers),0.10876898368336763,0.2749232932486315,0.9222473707845598
